fileName,resolution,edgesFactor,L*Mean,L*SD,a*Mean,a*SD,b*Mean,b*SD,ALF
0,2048x1362,0.00403352,48.2904,38.5555,128.758,1.57364,124.267,7.43032,0.175564
1,2048x1362,0.0319018,109.879,62.9456,129.035,2.07003,123.713,9.00604,0.148957
2,2048x1362,0.0585887,180.831,64.1731,128.697,2.68579,127.021,7.61302,0.053279
output,2048x1362,0.00732816,102.787,47.6418,129.386,2.45863,124.424,10.3105,0.16089
ashikhmin,2048x1362,0.00648496,77.7906,37.8203,130.828,4.3662,120.92,15.3929,0.272014
drago,2048x1362,0.0218293,99.9584,72.0384,130.436,3.51259,118.935,16.095,0.146925
mantiuk,2048x1362,0.0223064,104.557,47.5435,128.526,1.41906,125.158,6.70303,0.295301
reinhard,2048x1362,0.0262783,125.557,64.2047,128.915,1.88885,123.255,10.2318,0.171495
