fileName,resolution,edgesFactor,L*Mean,L*SD,a*Mean,a*SD,b*Mean,b*SD,ALF
0,2048x1362,0.0230489,136.817,90.5376,128.473,2.96725,128.479,4.41212,0.193519
1,2048x1362,0.0084259,94.8821,91.6158,128.582,1.42989,127.427,5.07347,0.178008
2,0x0,0,0,0,0,0,0,0,0
output,2048x1362,0.0104464,114.326,82.2324,128.852,2.79521,128.168,6.1986,0.123603
ashikhmin,2048x1362,0.00292252,19.1289,10.837,128.456,1.75147,128.247,2.4256,0.204848
drago,2048x1362,0.050294,93.9788,46.9759,129.679,5.97418,128.981,8.44645,0.129454
mantiuk,2048x1362,0.0643918,85.7583,37.5935,128.539,2.66704,128.591,4.21409,0.135195
reinhard,2048x1362,0.0447333,121.402,40.0539,128.724,3.69834,129.041,5.26497,0.0939126
