fileName,resolution,edgesFactor,L*Mean,L*SD,a*Mean,a*SD,b*Mean,b*SD,ALF
0,2048x1362,0.0261646,86.3295,53.2833,128.88,2.52897,117.853,13.62,0.123421
1,2048x1362,0.0365885,115.705,63.8487,128.456,2.27095,118.511,13.8669,0.14227
2,2048x1362,0.0496172,180.477,71.1539,126.671,3.88938,124.876,13.5025,0.057919
output,2048x1362,0.0326112,154.239,62.0163,127.931,3.63496,120.879,17.0267,0.0732138
ashikhmin,2048x1362,0.00860658,48.5444,24.5347,132.934,8.10911,114.3,19.352,0.205774
drago,2048x1362,0.0421227,126.019,83.2726,130.901,7.24852,108.055,25.1493,0.135355
mantiuk,2048x1362,0.05083,133.34,56.7894,127.289,2.274,121.741,11.6839,0.136118
reinhard,2048x1362,0.0408421,136.905,75.3759,127.864,2.36606,118.003,15.3161,0.100581
